Id,Label,indegree,outdegree,Degree,eigencentrality,clustering,modularity_class,stat_inf_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum
1,1,1,145,146,0.005391,0.009052,0,35,1,-66.6324,-65.6324,11,0.13922,0.161498,0,0,15465
2,2,4,4,8,0.108882,0.190476,1,0,0,-0.098,-0.098,5,0.378486,0.414386,4632.833333,0,11457
1761,1761,2,188,190,0.171701,0.006855,2,27,0.9497,-124.02205,-123.07235,10,0.227935,0.267383,101354.921429,0,15053
7097,7097,4,20,24,0.092854,0.051383,3,0,0.1734,-11.5556,-11.3822,6,0.341317,0.404605,10605.85,0,11458
3,3,5,35,40,0.093512,0.027665,4,0,-0,-29.064,-29.064,1,1,1,3570,0,11456
14880,14880,2,2,4,0.015174,0.5,5,0,0.75,0.6086,1.3586,2,0.507246,0.514286,0,0,15440
15449,15449,2,8,10,0.015174,0.166667,6,35,0.77,-1.5552,-0.7852,4,0.431818,0.477193,51,0,15175
4,4,2,1,3,0.054414,0.5,7,0,0,1,1,0,0,0,0,0,11455
5,5,2,1,3,0.054414,0.5,8,0,0,1,1,0,0,0,0,0,11454
6,6,2,1,3,0.054414,0.5,9,0,0,1,1,0,0,0,0,0,11453
7,7,2,1,3,0.054414,0.5,10,0,0,1,1,0,0,0,0,0,11452
8,8,2,1,3,0.054414,0.5,11,0,0,1,1,0,0,0,0,0,11451
9,9,2,1,3,0.054414,0.5,12,0,0,1,1,0,0,0,0,0,11450
10,10,2,1,3,0.054414,0.5,13,0,0,1,1,0,0,0,0,0,11449
11,11,2,1,3,0.054414,0.5,14,0,0,1,1,0,0,0,0,0,11448
12,12,2,1,3,0.054414,0.5,15,0,0,1,1,0,0,0,0,0,11447
13,13,2,1,3,0.054414,0.5,16,0,0,1,1,0,0,0,0,0,11446
14,14,2,1,3,0.054414,0.5,17,0,0,1,1,0,0,0,0,0,11445
15,15,2,1,3,0.054414,0.5,18,0,0,1,1,0,0,0,0,0,11444
16,16,2,1,3,0.054414,0.5,19,0,0,1,1,0,0,0,0,0,11443
17,17,2,1,3,0.054414,0.5,20,0,0,1,1,0,0,0,0,0,11442
18,18,2,1,3,0.054414,0.5,21,0,0,1,1,0,0,0,0,0,11441
19,19,2,1,3,0.054414,0.5,22,0,0,1,1,0,0,0,0,0,11440
20,20,2,1,3,0.054414,0.5,23,0,0.5,1,1.5,0,0,0,0,0,11439
21,21,2,1,3,0.054414,0.5,24,0,0.5,1,1.5,0,0,0,0,0,11438
22,22,2,1,3,0.054414,0.5,25,0,0.7,1,1.7,0,0,0,0,0,11437
23,23,2,1,3,0.054414,0.5,26,0,0,1,1,0,0,0,0,0,11436
24,24,2,1,3,0.054414,0.5,27,0,0,1,1,0,0,0,0,0,11435
25,25,2,1,3,0.054414,0.5,28,0,0,1,1,0,0,0,0,0,11434
26,26,2,1,3,0.054414,0.5,29,0,0.49,1,1.49,0,0,0,0,0,11433
27,27,2,1,3,0.054414,0.5,30,0,0,1,1,0,0,0,0,0,11432
28,28,2,1,3,0.054414,0.5,31,0,0,1,1,0,0,0,0,0,11431
29,29,2,1,3,0.054414,0.5,32,0,0,1,1,0,0,0,0,0,11430
30,30,2,1,3,0.054414,0.5,33,0,0,1,1,0,0,0,0,0,11429
31,31,2,1,3,0.054414,0.5,34,0,0.4,1,1.4,0,0,0,0,0,11428
32,32,2,1,3,0.054414,0.5,35,0,0.036,1,1.036,0,0,0,0,0,11427
33,33,2,1,3,0.054414,0.5,36,0,0,1,1,0,0,0,0,0,11426
34,34,2,1,3,0.054414,0.5,37,0,0.49,1,1.49,0,0,0,0,0,11425
35,35,2,1,3,0.054414,0.5,38,0,0,1,1,0,0,0,0,0,11424
36,36,2,1,3,0.054414,0.5,39,0,0.02,1,1.02,0,0,0,0,0,11423
37,37,2,1,3,0.054414,0.5,40,0,0.8,1,1.8,0,0,0,0,0,11422
38,38,2,6,8,0.051878,0.142857,41,0,0.8,-2.951,-2.151,2,0.857143,0.916667,614,0,11421
39,39,2,1,3,0.03158,0.5,42,0,0.025,1,1.025,0,0,0,0,0,11420
40,40,2,1,3,0.03158,0.5,43,0,0.199,1,1.199,0,0,0,0,0,11419
41,41,2,1,3,0.03158,0.5,44,0,0,1,1,0,0,0,0,0,11418
42,42,2,1,3,0.03158,0.5,45,0,0.2,1,1.2,0,0,0,0,0,11417
43,43,3,2,5,0.051786,0.25,46,0,0.2757,0.9,1.1757,1,1,1,106,0,11373
15364,15364,2,13,15,0.030736,0.071429,47,0,0.2127,-9.1503,-8.9376,2,0.62,0.693548,2787,0,11374
44,44,2,1,3,0.034981,0.5,48,0,0.9,1,1.9,0,0,0,0,0,11372
45,45,2,2,4,0.051878,0.333333,49,0,0.25,0.91,1.16,4,0.452174,0.472756,337.833333,0,11416
46,46,4,41,45,0.229616,0.024313,50,0,0.624,-34.87,-34.246,3,0.809524,0.888889,5346.833333,0,5197
1696,1696,5,191,196,0.544867,0.00645,51,1,0.5562,-128.38916,-127.83296,10,0.231468,0.264468,919568.43254,0,15053
2393,2393,2,2,4,0.15628,0.5,52,0,0.5,0.776,1.276,4,0.452174,0.472756,0,0,5198
47,47,2,2,4,0.077154,0.333333,53,0,0,0,0,1,1,1,106,0,5196
48,48,2,1,3,0.035962,0.5,54,0,0,1,1,0,0,0,0,0,5195
49,49,2,1,3,0.077154,0.5,55,0,0,1,1,0,0,0,0,0,5194
50,50,2,1,3,0.077154,0.5,56,0,0,1,1,0,0,0,0,0,5193
51,51,2,1,3,0.077154,0.5,57,0,0,1,1,0,0,0,0,0,5192
52,52,3,1,4,0.109451,0.333333,58,0,0.16,1,1.16,0,0,0,0,0,5191
7399,7399,2,3,5,0.092285,0.25,59,0,0,0.14,0.14,1,1,1,106.166667,0,5948
53,53,2,1,3,0.077154,0.5,60,0,0,1,1,0,0,0,0,0,5190
54,54,2,1,3,0.077154,0.5,61,0,0,1,1,0,0,0,0,0,5189
55,55,2,1,3,0.077154,0.5,62,0,0,1,1,0,0,0,0,0,5188
56,56,2,1,3,0.077154,0.5,63,0,0.2,1,1.2,0,0,0,0,0,5187
57,57,2,2,4,0.077154,0.5,64,0,0,0.99,0.99,1,1,1,0,0,5186
58,58,3,1,4,0.107725,0.5,65,0,-0,1,1,0,0,0,0,0,5185
59,59,2,1,3,0.077154,0.5,66,0,0,1,1,0,0,0,0,0,5184
60,60,2,1,3,0.077154,0.5,67,0,0.25,1,1.25,0,0,0,0,0,5183
61,61,2,1,3,0.077154,0.5,68,0,0.1,1,1.1,0,0,0,0,0,5182
62,62,2,2,4,0.077154,0.333333,69,0,0,0,0,1,1,1,106,0,5181
63,63,2,1,3,0.035962,0.5,70,0,0,1,1,0,0,0,0,0,5180
64,64,3,2,5,0.107725,0.333333,71,0,0.11,0,0.11,1,1,1,107,0,5151
93,93,2,2,4,0.077154,0.5,72,0,0,0.79,0.79,2,0.666667,0.75,0,0,5152
65,65,2,1,3,0.047157,0.5,73,0,0,1,1,0,0,0,0,0,5150
66,66,2,1,3,0.077154,0.5,74,0,0,1,1,0,0,0,0,0,5179
67,67,2,1,3,0.077154,0.5,75,0,0,1,1,0,0,0,0,0,5178
68,68,2,1,3,0.077154,0.5,76,0,0,1,1,0,0,0,0,0,5177
69,69,2,3,5,0.077154,0.25,77,0,0,-1,-1,1,1,1,212,0,5176
70,70,2,1,3,0.035962,0.5,78,0,0,1,1,0,0,0,0,0,5175
71,71,2,1,3,0.035962,0.5,79,0,0,1,1,0,0,0,0,0,5174
72,72,2,1,3,0.077154,0.5,80,0,0,1,1,0,0,0,0,0,5173
73,73,2,1,3,0.077154,0.5,81,0,0,1,1,0,0,0,0,0,5172
74,74,2,1,3,0.077154,0.5,82,0,0.5,1,1.5,0,0,0,0,0,5171
75,75,2,1,3,0.077154,0.5,83,0,0.8,1,1.8,0,0,0,0,0,5170
76,76,2,1,3,0.077154,0.5,84,0,0,1,1,0,0,0,0,0,5169
77,77,2,1,3,0.077154,0.5,85,0,0,1,1,0,0,0,0,0,5168
78,78,2,1,3,0.077154,0.5,86,0,0,1,1,0,0,0,0,0,5167
79,79,2,1,3,0.077154,0.5,87,0,0.2,1,1.2,0,0,0,0,0,5166
80,80,2,1,3,0.077154,0.5,88,0,0.61,1,1.61,0,0,0,0,0,5165
81,81,2,4,6,0.077154,0.2,89,0,0,-2,-2,1,1,1,318,0,5164
82,82,2,1,3,0.035962,0.5,90,0,0,1,1,0,0,0,0,0,5163
83,83,2,1,3,0.035962,0.5,91,0,0,1,1,0,0,0,0,0,5162
84,84,2,1,3,0.035962,0.5,92,0,0,1,1,0,0,0,0,0,5161
85,85,2,1,3,0.077154,0.5,93,0,0,1,1,0,0,0,0,0,5160
86,86,2,3,5,0.077154,0.25,94,0,0,-1,-1,2,0.75,0.833333,318,0,5159
87,87,2,2,4,0.035962,0.333333,95,0,0,0,0,1,1,1,107,0,5158
88,88,2,1,3,0.026369,0.5,96,0,0,1,1,0,0,0,0,0,5157
89,89,2,1,3,0.035962,0.5,97,0,0,1,1,0,0,0,0,0,5156
90,90,2,1,3,0.077154,0.5,98,0,0,1,1,0,0,0,0,0,5155
91,91,2,1,3,0.077154,0.5,99,0,0,1,1,0,0,0,0,0,5154
92,92,2,1,3,0.077154,0.5,100,0,0,1,1,0,0,0,0,0,5153
94,94,2,1,3,0.077154,0.5,101,0,0,1,1,0,0,0,0,0,5149
95,95,2,1,3,0.077154,0.5,102,0,0.47,1,1.47,0,0,0,0,0,5148
96,96,2,1,3,0.077154,0.5,103,0,0,1,1,0,0,0,0,0,5147
97,97,2,1,3,0.077154,0.5,104,0,0,1,1,0,0,0,0,0,5146
98,98,12,1,13,0.787325,0.121212,105,27,0.00001,1,1.00001,0,0,0,0,0,1777
140,140,8,52,60,0.787858,0.024436,106,35,-0,-30.72315,-30.72315,12,0.140822,0.159677,107342.370635,0,15053
690,690,3,147,150,0.246365,0.007074,107,26,0.9519,-94.3844,-93.4325,11,0.169466,0.19409,554506.404762,0,15053
1756,1756,4,113,117,0.31847,0.011334,108,35,0,-63.9763,-63.9763,10,0.211245,0.236989,79175.521429,0,15053
2204,2204,3,118,121,0.235493,0.010326,109,35,0.716,-66.1001,-65.3841,10,0.212486,0.239295,35245.283333,0,15053
5608,5608,2,18,20,0.074944,0.076023,110,35,0.0031,-4.7419,-4.7388,16,0.091201,0.097418,614.166667,0,15053
6504,6504,2,41,43,0.098174,0.03194,111,35,0.25,-16.3106,-16.0606,16,0.091371,0.098967,2385.5,0,15053
6812,6812,2,6,8,0.056724,0.166667,112,27,0.3076,-0.43513,-0.12753,1,1,1,246,0,11595
6915,6915,2,10,12,0.056724,0.154545,113,27,0.0622,-3.58223,-3.52003,2,0.736842,0.821429,294,0,11550
